1.Ownar Nme Ramesh Ku mar Village Nag pur Survey No 124A Area 2.5
2.Ownar Nme Suresh Pa tel Village Pu ne Survey No 56B Area 1.8
3.Ownar Nme Mahesh Ku mar Village Mu mbai Survey No 78C Area 3.2
4.Ownar Nme Amit Sha rma Village Na shik Survey No 45A Area 1.5
5.Ownar Nme Rohit Ve rma Village Na gpur Survey No 90B Area 2.0
6.Ownar Nme Vikas Sha h Village Ra ipur Survey No 11B Area 0.9
7.Ownar Nme Deepak Ku mar Village La tur Survey No 38C Area 2.9
8.Ownar Nme Anil Jo shi Village Be d Survey No 72A Area 1.4
9.Ownar Nme Karan Si ngh Village In dore Survey No 84B Area 1.6
10.Ownar Nme Pankaj Me hra Village Bo pal Survey No 19A Area 0.8
11.Ownar Nme Rahul Ku mar Village Se oni Survey No 55C Area 2.3
12.Ownar Nme Sanjay Ti wari Village Ma legaon Survey No 66B Area 3.0
13.Ownar Nme Arjun Ra thod Village Ch andrapur Survey No 21A Area 1.1
14.Ownar Nme Nitin De sh Village Ya vatmal Survey No 92C Area 2.4
